Date,Open,High,Low,Close,Adj Close,Volume
2021-07-02,167.350006,167.720001,166.399994,167.289993,167.289993,7873600
2021-07-06,169.270004,169.649994,167.539993,168.119995,168.119995,7932100
2021-07-07,168.720001,169.229996,168.190002,168.759995,168.759995,7108900
2021-07-08,169.820007,169.860001,167.910004,168.649994,168.649994,7244300
2021-07-09,168.839996,169.619995,168.660004,169.210007,169.210007,4997400
2021-07-12,168.699997,169.160004,167.639999,169.000000,169.000000,7315400
2021-07-13,169.509995,169.899994,168.929993,169.220001,169.220001,7040300
2021-07-14,170.910004,171.039993,170.279999,171.039993,171.039993,8830300
2021-07-15,170.889999,171.300003,170.339996,171.070007,171.070007,6520100
2021-07-16,170.649994,170.949997,169.279999,169.410004,169.410004,9460300
2021-07-19,169.509995,169.910004,168.889999,169.610001,169.610001,6707400
2021-07-20,170.509995,170.800003,168.919998,169.389999,169.389999,6540100
2021-07-21,168.330002,169.000000,168.139999,168.759995,168.759995,4622600
2021-07-22,168.490005,169.190002,168.059998,169.089996,169.089996,4793600
2021-07-23,168.500000,168.880005,167.949997,168.559998,168.559998,5831500
2021-07-26,168.580002,168.860001,168.080002,168.160004,168.160004,5229800
2021-07-27,168.729996,168.910004,167.929993,168.440002,168.440002,6300200
2021-07-28,168.259995,169.380005,167.720001,169.289993,169.289993,7905800
2021-07-29,170.699997,171.520004,170.669998,171.169998,171.169998,8119600
2021-07-30,170.720001,170.990005,169.380005,169.820007,169.820007,7391700
2021-08-02,169.300003,170.250000,169.100006,169.610001,169.610001,10783200
2021-08-03,169.419998,169.830002,169.210007,169.490005,169.490005,5402300
2021-08-04,171.279999,171.399994,168.990005,169.529999,169.529999,9796300
2021-08-05,169.369995,169.440002,168.199997,168.860001,168.860001,8015000
2021-08-06,165.839996,165.929993,164.550003,164.639999,164.639999,13547600
2021-08-09,163.009995,163.289993,161.259995,161.720001,161.720001,11547000
2021-08-10,161.389999,162.110001,160.679993,161.770004,161.770004,6870800
2021-08-11,163.149994,164.169998,162.679993,164.000000,164.000000,7382400
2021-08-12,163.649994,164.100006,162.929993,164.039993,164.039993,5211700
2021-08-13,165.020004,166.460007,164.889999,166.389999,166.389999,7466900
2021-08-16,166.729996,167.389999,166.589996,167.220001,167.220001,7776500
2021-08-17,167.289993,167.729996,166.559998,166.970001,166.970001,7107000
2021-08-18,167.240005,167.509995,166.259995,167.100006,167.100006,7697900
2021-08-19,167.240005,167.289993,166.160004,166.610001,166.610001,6934300
2021-08-20,166.800003,167.139999,166.360001,166.699997,166.699997,7154000
2021-08-23,168.820007,168.910004,167.960007,168.729996,168.729996,8190500
2021-08-24,169.039993,169.270004,168.520004,168.649994,168.649994,4519200
2021-08-25,167.880005,167.919998,166.740005,167.479996,167.479996,5588800
2021-08-26,167.210007,168.210007,166.830002,167.669998,167.669998,4371900
2021-08-27,167.580002,170.190002,166.869995,170.190002,170.190002,10036400
2021-08-30,169.660004,169.839996,169.089996,169.350006,169.350006,3768600
2021-08-31,169.229996,169.919998,168.750000,169.690002,169.690002,6336000
2021-09-01,169.940002,170.000000,169.160004,169.699997,169.699997,4764900
2021-09-02,169.500000,169.630005,168.820007,169.250000,169.250000,4599800
2021-09-03,170.589996,171.550003,170.149994,171.059998,171.059998,8353300
2021-09-07,169.559998,169.779999,167.630005,167.710007,167.710007,10004600
2021-09-08,168.020004,168.080002,166.699997,167.289993,167.289993,6576000
2021-09-09,168.169998,168.279999,166.830002,168.029999,168.029999,6641400
